question,answer
Erklären Sie das Beispiel der Länderanalyse/ Regionalanalyse/ Städteanalyse im Kontext der Faktorenanalyse konkreter!,"Erhebung zahlreicher Daten (z.B. BIP/Kopf, Einkommen/Kopf, Steuereinnahmen, Zahl der Arbeitsplätze, Arbeitslosenquote, Ausbildungsquote, Alphabetisierung, Internetdichte, Kinderbetreuungsmöglichkeiten, Säuglingssterblichkeit) -> Reduzieren dieser Variablen auf wenige fiktive Variablen wie wirtschaftliche Leistungsfähigkeit, soziales Umfeld etc. "
Was ist eine Conjoint-Analyse?,"verschiedene Verfahren, die v.a. im Marketing bei der Produktgestaltung, der Planung neuer Produkte sowie der Preisgestaltung eingesetzt werden -> Bestimmung des Einflusses einzelner Merkmale auf den Gesamtnutzen"
Nennen Sie Beispiele einer Conjoint-Analyse!,"Neues PKW-Modell (Farbe, Sitzheizung, Airbag, Schiebedach, Bezug Sitze); Neuer Laptop (Leistungsfähigkeit, Ausstattung mit Laufwerken, Anschlüssen, Garantieleistungen)"
Was ist die Vorgehensweise bei der Conjoint-Analyse?,1.) Auswahl der relevanten Eigenschaften 2.) Festlegung eines Erhebungsdesigns 3.) Bewertung der Stimuli 4.) Ermittlung der Teilnutzenwerte 5.) Aggregation der Nutzenwerte
Was ist bei der Auswahl der relevanten Eigenschaften im Kontext der Conjoint-Analyse zu beachten?,Müssen realisierbar und keine KO-Kriterien sein
Was ist bei der Festlegung eines Erhebungsdesigns im Kontext der Conjoint-Analyse zu beachten?,Definieren von Stimuli (Kombination verschiedener Eigenschaftsausprägungen) -> möglichst realistische Kombinationen und Begrenzung auf max. 20 (reduziertes Design)
Wie erfolgt die Bewertung der Stimuli im Kontext der Conjoint-Analyse?,Bringen der Stimuli von Testpersonen/ potenziellen Kunden in eine Reihenfolge/ ordinale Reihung
Wie erfolgt die Ermittlung der Teilnutzenwerte im Kontext der Conjoint-Analyse?,Ermittlung der kardinalen Teilnutzenwerte für die verschiedenen Eigenschaftsausprägungen aus den ordinalen Reihung -> Ermittlung Gesamtnutzenwerte für alle Stimuli
Wie erfolgt die Aggregation der Nutzenwerte im Kontext der Conjoint-Analyse?,Zusammenfassung der Bewertung aller Befragungsteilnehmer
Was sind Probleme bei der Conjoint-Analyse?,Notwendigkeit des Arbeitens mit einem reduzierten Design in Folge der problematischen Beurteilung durch die Befragungs-TN bei sehr vielen Merkmalskombinationen; Umrechnung ordinaler Reihenfolgen in kardinale Teilnutzenwerte unter mathematisch-statistischen Gesichtspunkte problematisch -> verbotene Umskalierung von unten nach oben nur bei gleichen Abständen bei der Reihenfolge zulässig
Was versteht man unter einer Zeitreihenanalyse?,Vielzahl von Verfahren zur Analyse der historischen Entwicklung von Variablen im Zeitablauf und ihrer Prognose
Was sind Beispiele für eine Zeitreihenanalyse?,"Wetter- bzw. Temperaturentwicklung in den letzten 100 Jahren; Herzschlagentwicklung eines Komapatienten über 24h; Entwicklung des Umsatzes/ Gewinns/ eines Unternehmens oder Verkaufszahlen eines Produkts über 40 Quartale; Entwicklung von Aktienkursen, Aktienindizes oder Wechselkursen über 52 Wochen (-> Charttechnik)"
Was sind Komponenten von ökonomischen Zeitreihen?,Trendkomponenten (sehr langfristig); Konjunkturkomponente (mehrjährig); Saisonkomponente (unterjährig); Zufallskomponente (singuläre Einflüsse)
Wie wird das Erkennen der relevanten Komponenten und das Auswählen des richtigen Zeitreihenmodells (z.B. linear oder exponentiell) vereinfacht?,zunächst grafische Darstellung der Zeitreihe
Nennen Sie ausgewählte Verfahren der reinen Zeitreihenanalyse!,Regressionsanalyse mit Zeit als erklärende Variable; Methode der gleitenden Durchschnitte; Exponentielles Glätten; Box-Jenkins-Modelle (ARIMA-Modelle)
Beschreiben Sie die Regressionsanalyse mit Zeit als erklärende Variable als Verfahren der reinen Zeitreihenanalyse näher!,Yt = ß0 + ß1 * t; Erweiterung des Regressionsmodells um weitere Variablen möglich; Prognose = möglich
Beschreiben Sie die Methode der gleitenden Durchschnitte als Verfahren der reinen Zeitreihenanalyse näher!,"rein vergangenheitsbezogene Durchschnittsbildung, d.h. Glättung über mehrere Perioden"
Beschreiben Sie das Exponentielle Glätten als Verfahren der reinen Zeitreihenanalyse näher!,Erhalten der Vergangenheitsdaten eines höheren Gewichts mit zunehmender Aktualität; Prognose = möglich
Beschreiben Sie die Box-Jenkins-Modelle als Verfahren der reinen Zeitreihenanalyse näher!,Erklärung der Zeitreihe aus sich selbst; Prognose = möglich
Was ist bei der reinen Zeitreihenanalyse problematisch?,"Erklärung der Entwicklung der Zeitreihe nur aus ihrer historischen Entwicklung, aber Nicht-Berücksichtigung anderer Einflussfaktoren -> aus ökonomischer Sicht oft unbefriedigend, da keine Ableitung von Hanldungsempfehlungen möglich"
Was untersucht die Varianzanalyse?,Einfluss von unabhängigen Variablen auf abhängige Variablen äquivalent zur Regressionsanalyse
Welches Skalenniveau besitzen die Variablen bei der Varianzanalyse?,Unabhängige Variablen (Faktoren) -> nominales Skalenniveau; abhängige Variablen -> metrisches Skalenniveau
Was ist der Unterschied zwischen einer einfaktoriellen und mehrfaktoriellen Varianzanalyse?,"Einfaktorielle Varianzanalyse: Untersuchung des Einflusses eines Faktors (z.B. Geschlecht) auf die Lebenserwartung; Mehrfaktorielle Varianzanalyse -> mehrere Faktoren (z.B. Geschlecht, Raucher, Vegetarier)"
Was ist der Grundgedanke einer Varianzanalyse?,"Zerlegung der Gesamtstreuung in eine Streuung innerhalb der Gruppen und in eine Streuung zwischen den Gruppen (= Faktorkombinationen); Zerlegung der Streuung zwischen den Gruppen in Streuung durch Faktor A, Streuung durch Faktor B, Streuung durch Wechselwirkungen"
Wie werden die Streuungen gemessen?,Über Varianzen
Bei welcher Varianzanalyse können zusätzlich noch Wechselwirkungen zwischen den erklärenden Größen auftreten?,Bei der mehrfaktoriellen Varianzanalyse
Was sind die Modellannahmen bei der Varianzanalyse?,Normalverteilung der Ausgangswerte & Varianzhomogenität in den verschiedenen Gruppen
Unter welcher Voraussetzung müssen die Modellprämissen der Varianzanalyse überprüft werden?,Nur bei unterschiedlicher Besetzung der Faktorkombinationen <-> bei gleich häufiger Besetzung der unterschiedlichen Faktorkombinationen Anwendbarkeit auch bei Verletzung der Modellannahmen
Wie wird die Modellprämisse Normalverteilung bei der Varianzanalyse überprüft?,Histogramm mit Normalverteilungskurve; Kolmogorov-Smirnov-Test (Nullhypothese: Normalverteilung)
Wie wird die Modellprämisse Varianzhomogenität bei der Varianzanalyse überprüft?,Levene-Test (Nullhypothese: Gleichheit der Fehlervarianzen der abhängigen Variable über alle Gruppen = Homogenität)
Was ist die Vorgehensweise bei der Varianzanalyse?,1.) Problemformulierung 2.) Analyse der Abweichungsquadrate 3.) Prüfung der statistischen Unabhängigkeit
Was ist bei der Problemformulierung im Kontext der Varianzanalyse zu beachten?,sinnvoller ökonomischer Zusammenhang unter Berücksichtigung des Skalenniveaus und der Modellannahmen; Nur Haupteffekte oder auch Wechselwirkungen zwischen den erklärenden Größen?
Was ist bei der Analyse der Abweichungsquadrate im Kontext der Abweichungsquadrate zu beachten?,Streuungszerlegung -> Welcher Anteil der Gesamtstreuung wird durch die einzelnen Faktoren bzw. durch ihre Wechselwirkung erklärt?; Bestimmtheitsmaß/ Determinationskoeffizient/ R-Quadrat
Was ist die Aussagekraft des Bestimmtheitsmaß im Kontext der Varianzanalyse?,"Maßzahl für die Qualität der Varianzanalyse, bei der zwischen erklärten und nicht-erklärten Abweichungen getrennt wird; Wertebereich zw. 0 und 1; -> bei 1 perfekte Erklärung"
Welche statistischen Werte werden für die Prüfung der statistischen Unabhängigkeit im Kontext der Varianzanalyse berücksichtigt?,F-Tests & Scheffe-Test
Was sagen die F-Tests im Kontext der Varianzanalyse aus?,"Test, der Nullhypothese, dass der untersuchte Faktor keinen Einfluss auf die abhängige Variable hat; Ausweis eines Signifikanzniveaus"
Was sagt der Scheffe-Test im Kontext der Varianzanalyse aus?,"paarweiser Mittelwertvergleich zur Feststellung, welche Faktorkategorien tatsächlich signifikant unterschiedliche Ergebnisse für das Untersuchungsmerkmal liefern: Nullhypothese jeweils: keine Unterschiede; Ausweis von Signifikanzniveau und Konfidenzintervall"
Was ermöglicht eine Kovarianzanalyse im Vergleich zur Varianzanalyse?,Berücksichtigung zu den nominal skalierten Faktoren von metrisch skalierten unabhängigen Variablen (= Kovariaten)
Was ist unter einer Clusteranalyse zu verstehen?,verschiedene Verfahren zur Gruppenbildung
Was ist das Ziel einer Clusteranalyse?,"Bilden homogener Teilmengen aus einer heterogenen Gesamtheit von Objekten oder Personen, d.h. möglichst ähnliche Mitglieder einer Gruppe, aber deutliche Unterschiede zwischen den Gruppen"
Zwischen welchen Verfahren der Clusteranalyse wird differenziert?,Partitionierende Clusterverfahren; Hierarchisch-Divisive Clusterverfahren; Hierarchisch-Agglomerative Clusterverfahren
Beschreiben Sie die partitionierenden Clusterverfahren näher!,Vorgabe bestimmter Clusterzahl und Gruppierung und dann Umgruppierung
Beschreiben Sie die hierarchisch-divisiven Clusterverfahren näher!,beim Start des Verfahrens: alle Objekte = in einem Cluster -> dann: Zerlegung
Beschreiben Sie die hierarchisch-agglomerativen Clusterverfahren näher!,beim Start des Verfahrens: Bildung eines eigenen Clusters durch jedes Objekt -> dann: Zusammenfassen
Was ist der Unterschied der Clusteranalyse zur Diskriminanzanalyse?,Bildung der Gruppen erst im Laufe des Verfahrens aus den Merkmalsausprägungen der betrachteten Variablen
Welches Skalenniveau ist für die Durchführung einer Clusteranalyse erforderlich?,"Durchführbarkeit bei unterschiedlichen Skalenniveaus, jedoch Unterscheidung der Vorgehensweise je nach Skalenniveau"
Was ist die Vorgehensweise bei der Clusteranalyse?,1.) Variablenauswahl 2.) Bestimmung der Ähnlichkeiten bzw. Unterschiede 3.) Auswahl des Fusionierungsalgorithmus 4.) Bestimmung der Clusterzahl 5.) Interpretation der Cluster
Wie erfolgt die Variablenauswahl bei der Clusteranalyse?,"hohe Relevanz für die Fragestellung; Korrelationskoeffizient <= 0,9, andernfalls Ausschließen der Variablen aus dem Modell"
Wie erfolgt die Bestimmung der Ähnlichkeiten bzw. Unterschiede bei der Clusteranalyse?,Quantifizierung der Ähnlichkeit (Ähnlichkeitsmaß) bzw. der Distanz (Distanzmaß) zwischen den Objekten bzgl. der ausgewählten Variablen -> unterschiedliche Maße je nach Skalenniveau
Was ist bei gemischter Skalierung bei der Clusteranalyse maßgeblich?,"Niedrigstes Skalenniveau, d.h. Abstufung der höher skalierten Variablen => Informationsverlust"
Was ist ein Ähnlichkeitsmaß für binäre/ nominal skalierte Merkmale im Kontext der Clusteranalyse?,M-Koeffizient (= Simple Matching Koeffizient)
Was ist die Aussagekraft des M-Koeffizienten im Kontext der Clusteranalyse?,Vergleich binärer Variablen und ihrer Ausprägungen für die einzelnen Objekte -> Setzen der Zahl der Übereinstimmungen in Relation zu allen betrachteten Variablen
Was ist ein wichtiges Distanzmaß für metrisch skalierte Variablen im Kontext der Clusteranalyse?,Quadrierte Euklidische Distanz
Was gewichtet die quadrierte Euklidische Distanz im Unterschied zu vielen anderen Distanzmaßen besonders stark?,Große Unterschiede zwischen den Objekten bei einzelnen Variablen
Worauf ist bei Bestimmung der Proximitätsmaße im Kontext der Clusteranalyse zu achten?,Vorliegen der Daten in vergleichbaren Maßeinheiten (evtl. Notwendigkeit der Standardisierung in z-Werte)
Was ist die Fragestellung bei der Auswahl des Fusionierungsalgorithmus im Kontext der Clusteranalyse?,Nach welcher Methode sollen die verschiedenen Objekte zu Gruppen zusammengefasst werden?
Welche Fusionierungsalgorithmen im Bereich der hierarchisch-agglomerativen Verfahren gibt es im Kontext der Clusteranalyse?,Single-Linkage-Verfahren; Complete-Linkage-Verfahren; Average-Linkage-Verfahren; Ward-Verfahren
Was sind Merkmale von Single-Linkage-Verfahren im Kontext der Clusteranalyse?,"Kleinste Distanz bei Gruppenbildung relevant, d.h. Nearest-Neighbour-Verfahren; sehr gutes Entdecken von Ausreißern"
Was sind Merkmale von Complete-Linkage-Verfahren im Kontext der Clusteranalyse?,"Größte Distanz bei Gruppenbildung relevant, d.h. Furthest-Neighbour-Verfahren"
Was sind Merkmale von Average-Linkage-Verfahren im Kontext der Clusteranalyse?,Durchschnittliche Entfernung aller möglichen Fallpaare aus 2 Clustern für Gruppenbildung relevant
Was sind Merkmale des Ward-Verfahrens im Kontext der Clusteranalyse?,"Vereinigung der Objekte so zu Gruppen, dass sich die Varianzen innerhalb der Gruppen möglichst wenig erhöhen; nur bei Distanzmaßen verwendbar; problematisch bei Ausreißern"
Was ist in Bezug auf die Auswahl des Fusionierungsalgorithmus im Kontext der Clusteranalyse zu beachten?,Entstehung unterschiedlicher Gruppen je nach Fusionierungsalgorithmus beim Ablauf des Clusterverfahrens
Wie wird die Clusterzahl bei hierarchisch-agglomerativen Verfahren im Kontext der Clusteranalyse?,Anfangs n Objekte = n Cluster -> Reduzierung der Clusterzahl nach n-1 Schritten bis hin zu einem Cluster
Wovon ist die Bestimmung der optimalen Clusterzahl im Kontext der Clusteranalyse abhängig?,mathematisch-statistische Kriterien & konkrete ökonomische Fragestellung (z.B. bei Marketingaktivitäten)
Was ist bei der Bildung von sehr wenigen Clustern im Kontext der Clusteranalyse zu beachten?,"Zwar überschaubare Gruppenzahl, aber Gruppen in sich sehr heterogen"
Was ist bei der Bildung von sehr vielen Clustern im Kontext der Clusteranalyse zu beachten?,"Gruppen in sich sehr homogen, aber Gruppenanzahl zu unüberschaubar"
Was ist unter statistischen Gesichtspunkten bei der Frage der Clusterzahl im Kontext der Clusteranalyse zu berücksichtigen?,Entwicklung der Heterogenitätsmaße beim Fortschreiten des Fusionierungsalgorithmus -> Hinweis großer Sprünge auf starke Zunahme der Heterogenität mit weiterer Fusionierung (= abnehmender Clusterzahl)
Was bietet SPSS als Hilfestellung für die Bestimmung der optimalen Clusterzahl im Kontext der Clusteranalyse an?,Dendrogramm (grafische Lösung) mit normiertem Heterogenitätsmaß
Wie erfolgt die Interpretation der Cluster im Kontext der Clusteranalyse?,Mittels deskriptiver Statistiken zur Auswahl geeigneter Maßnahmen für die jeweilige Fragestellung
Was ist unter der Wirtschaftsinformatik zu verstehen?,"interdisziplinäre Wissenschaft zwischen der BWL und der Informatik; Beschreibung, Erklärung, Prognose & Gestaltung rechnergestützter Informationssysteme und deren Einsatz in Wirtschaft, Verwaltung und dem unmittelbaren privaten Lebensumfeld"
Was sind typische Jobrollen in der Wirtschaftsinformatik??,Help Desk Support; Systementwickler; IT Projekt Manager und Projektleiter; Security Engineer; IT Berater und IT Consultant
Was sind typische Einsatzgebiete der Wirtschaftsinformatik?,IT-Abteilung; Fachabteilung mit IT-Bezug; Entrepreneur
Wie wird Standardsoftware im Bereich der WI definiert?,"Programme bzw. Programmpakete mit Festpreis für die Grundversion; Abdecken eines eindeutig definierten betrieblichen Anwendungsgebiets; Abdecken folgender Eigenschaften (Fakturierung, Aunlagenbuchhaltung, Kostenrechnung, Auftrags- und Bestellabwicklung, Vertriebsaktivitäten) "
Was sind Merkmale integrierter Standardsoftware?,"Genau definierter Funktionsumfang; Unterstützung  eines bestimmten Anwendungsbereichs; Unterstützung in unterschiedlichen, zahlreichen Organisationen; Implementierung und Betrieb mit vglw. geringem zeitlichen & finanziellen Aufwand"
Was ist Individualsoftware?,Eine speziell auf bestimmte Aufgaben- oder Problemstellungen einer einzelnen Organisation entwickelte und auf deren Hard- und Softwareumgebung zugeschnittene Software
Was sind Unterschiede von Individualsoftware und Standardsoftware?,Kauf von Standardsoftware i.d.R. kostengünstiger; kürzere Einführungsdauer und Erforderung geringeres Know-How sowie geringere Risiken bei Einführung von Standardsoftware (sofortige Verfügbarkeit); meist höhere Qualität bei Standardsoftware von Beginn an; genaue Anpassung an Anforderungen und Ablauforganisation der Unternehmung durch Individualsoftware
Was sind E-Commerce Lösungen?,"Das Angebot von Produkten und Dienstleistungen über das Internet, z.B. B2B, B2C, C2C, E-Government"
Was ist B2B?,"Eine Untermenge von E-Commerce, bei der alle Teilnehmer Organisation sind"
Was ist B2C?,"Eine Form des elektronischen Handels, bei dem Kunden direkt mit einer Organisation handeln und Zwischenhändler vermeiden."
Was ist E-Government?,"Nutzung von Informations- und Kommunikationstechnologie zur Vereinfachung des Teilens von Informationen, zur Beschleunigung papierloser Prozesse und zur Verbesserung der Beziehungen der Bürger mit der Kommune"
Welche Ausprägungen gibt es beim E-Government?,Government-to-Consumer (G2C); Government-to-Business (G2B); Government-to-Government (G2G) 
"Was sind Unterscheidungsfaktoren von B2B, B2C und C2C",Auftragsvolumen; Länge des Verkaufsprozesses; Anzahl der Entscheidungen; Konstanz des Angebots; Komplexität des Einkaufsprozesses; Motivation des Verkaufs
"Inwiefern unterscheiden sich B2B, B2C und C2C in Bezug auf das Auftragsvolumen?",B2B: Tausende oder Millionen von Euro > B2C: Bis zu mehrere hundert Euros > C2C: Im Zehner Euro Bereich
"Inwiefern unterscheiden sich B2B, B2C und C2C in Bezug auf die Länge des Verkaufsprozesses?",B2B: Tage bis Monate > B2C: Tage bis Wochen > C2C: Stunden bis Tage
"Inwiefern unterscheiden sich B2B, B2C und C2C in Bezug auf die Anzahl der Entscheidungen?",B2B: Mehrere Menschen und Hierarchien > B2C & C2C: Ein oder Zwei
"Inwiefern unterscheiden sich B2B, B2C und C2C in Bezug auf die Konstanz des Angebots?",B2B: i.d.R. konstantes Produktportfolio > B2C: mehr kundenindividuelle Produkte > C2C: individuelle Produkte
"Inwiefern unterscheiden sich B2B, B2C und C2C in Bezug auf die Komplexität des Einkaufsprozesses?",B2B: sehr komplex (viel Verhandlungsraum) > B2C: relativ einfach (weniger Verhandlungsraum bei Preis und Bezahlung) > C2C: sehr einfach (wenig Diskussionen zu Preis und Lieferkonditionen)
"Inwiefern unterscheiden sich B2B, B2C und C2C in Bezug auf die Motivation des Verkaufs?",B2B: Getrieben von Geschäftsentscheidungen; B2C & C2C: Getrieben von Kundenwünschen oder Emotionen
Beschreiben Sie das mehrstufige Modell für E-Commerce!,Ausgangspunkt Buyer; Phasen: 1. Search and identification -> 2. Selection and negotiation -> 3. Purchasing -> 4. Product and service delivery (Electronic Distribution) -> 5. After-sales service 
Aus welchen Komponenten besteht das E-Commerce 3 Komponenten Modell?,"Content (Industry news, Economy news, stock prices); Commerce (Consumers and businesses buying and selling); Community (Message boards, chat rooms)"
Was ist in Bezug auf das E-Commerce technisch betrachtet wichtig?,"Verbindung zum Back End System, d.h. E-Commerce Web Server (Unterstützung der webbasierten Bestellabwicklung) und das Intranet (Bereitstellung Zugang zu internen Daten)"
Was macht ein Data Warehouse?,Aufbereitung von Datenbeständen zum Zwecke der strategischen Entscheidungsfindung
Was sind Daten?,"Rohe Fakten aus operativen Systemen (relationalen Datenbanken, nichtrelationale Datenbanken, externe Datenquellen)"
Was sind beispielhafte Daten?,Personalnummern von Mitarbeitern; Teilenummern etc.
Was sind Informationen?,"Sammlung von Fakten so organisiert, dass sie einen Mehrwert erzeugen"
Was ist Wissen?,von Entscheidern interpretierte Informationen -> Ziel: Erzielen Wettbewerbsvorteile der Entscheider
Nennen Sie verschiedene Datentypen und deren Darstellungsart!,"Alphanumerische Daten (Zahlen, Buchstaben und andere Zeichen); Bilddaten (Bilder); Audiodaten (Musik); Video (Bewegte Bilder)"
Welche Ebenen bestehen in Bezug auf die Gesamtarchitektur eines Data Warehouse Systems?,Ebene der operativen Systeme; Datenerfassungsebene; Datenhaltungsebene; Datenaufbereitungsebene; Präsentationsebene
Welcher Prozess ist bzgl. der Gesamtarchitektur eines Data Warehouse Systems von großer Bedeutung?,Extraktion (E) -> Transformation (T) -> Laden (L) => ETL
Welche Analysemöglichkeiten bestehen für ein Data Warehouse System?,Pivot Tabellen; Rechenschiebermodelle; Operationen in OLAP
Was versteht man unter Data Mining?,"Entwicklung und Anwendung von Methoden, um neue Informationen mit Hilfe von Mustern und Regeln aus vorhandenen Datenbeständen zu gewinnen"
Nennen Sie die Zielsetzungen von Data Mining und die entsprechenden Data Mining Methoden!,Klassifikation (Entscheidungsbaumverfahren; Neuronale Netze; Nearest Neighbor); Schätzung (Regressionsanalyse; Neuronale Netze); Clustering (Diverse Clustering Algorithmen); Assoziationsverfahren (Rule Induction bzw. Market Basket Analysis)
Nennen Sie Erweiterungen von ERP Standardsoftware?,CRM Systeme; SCM Systeme; Archivierungssysteme
Was ist das Ziel von CRM Systemen bzw. vom Customer Relationship Management?,Unterstützung und Optimierung kundenbezogener Prozesse
Was ist das Supply Chain Management?,"Alle Geschäftsprozesse einer Lieferkette, die zur Erstellung und Lieferung von Produkten und Dienstleistungen erforderlich sind"
Erklären Sie den Wert von Informationen!,"Bei unvollständigen oder ungenauen Informationen einer Organsiation -> Treffen von falschen Entscheidungen für Manager möglich, die Tausende oder Miollen von Euros kosten"
Welche Charakteristiken kennzeichnen den WErt von Informationen?,Verfügbar; Genau; Vollständig; Wirtschaftlich; Flexibel; Relevant; Zuverlässig; Sicher; Einfach; Zeitbezogen; Überprüfbar
Was versteht man unter einem System?,"Eine Gruppe von Komponenten, die zusammenarbeiten, um ein Ziel zu erreichen"
Was sind Komponenten eines Systems?,Eingabe; Prozessmachenismus; Ausgabe; Feedback
Wo werden Informationssysteme eingesetzt?,In nahezu allen denkbaren Berufszweigen: Vertriebsbeauftragte (Bekanntmachen der Produkte und Kundenkommunikation); Rechtsanwälte (Vertragserstellung)
Aus was bestehen Informationssysteme?,"Aus einer Gruppe von zusammenhängenden Komponenten, welche Daten und Informationen sammeln, bearbeiten und verteilen"
Was ist der Sinn und Zweck von Informationssystemen?,Liefern von Feedback zum Einhalten von Vorgaben
Warum sind Kenntnisse über Informationssysteme für praktisch alle Mitarbeiter eines Unternehmens relevant??,profitables und effizientes Arbeiten möglich
Was sind die sich wandelnden geschäftlichen Rahmenbedingungen?,Globalisierung; Zunehmende Bedeutung der Informationswirtschaft; Wandel der Organisationsstrukturen; Entstehung des vernetzten Unternehmens
Was sind Charakteristiken des vernetzten Unternehmens?,"Rasches Erkennen und Reagieren auf Änderungen im betrieblichen Umfeld; Elektronische Verwaltung wichtiger Vermögensgegenstände des Unternehmens; Abwicklung wichtiger Geschäftsprozesse über elektronische Netzwerke; Geschützte Bezeihung zu Kunden, Lieferanten und Mitarbeitern durch elektronische Kommunikationsmittel"
Was sind Charakteristiken der Globalisierung?,Management und Kontrolle in einem globalen Markt; Wettbewerb in Weltmärkten; Globale Arbeitsgruppen; Globale Liefersysteme
Was sind Charakteristiken der zunehmenden Bedeutung der Informationswirtschaft?,Wissens- und informationsbasierte Marktwirtschaften; Wissensintensive Produkte und Dienstleistungen; Wissen = zentrale produktive und strategische Ressource; Informationsintensives Variantenmanagement von Produkten; Hoher Qualifizierungsbedarf von Mitarbeitern
Was sind Charakteristiken vom Wandel der Organisationsstruktur?,Weniger Hierarchie/ flachere Organsiationsstrukturen; Dezentralisierung; Größere Flexibilität; Standortunabhängigkeit; Geringe Transaktions- und Koordinationskosten; Verantwortungsübertragung an Ausführende; Unternehmensübergreifende Kooperation und Teamarbeit
Inwiefern verändert sich die Erwerbstätigenstruktur je nach Wirtschaftssektoren?,"Weniger Erwerbstätige im primären Sektor (Land- und Forstwirtschaft) sowie im sekundären Sektor (Produzierendes Gewerbe), jedoch Zunahme der Erwerbstätigen im tertiären Sektor (Dienstleistungen)"
"Was müssen neue Informationssysteme erfüllen, damit sie eine Verbesserung für ein Unternehmen darstellen?",Kosten reduzieren; Gewinne erhöhen; Service verbessern; wirtschaftlichen Vorteil bringen
Was ist ein Synonym für ein rechnergestütztes Informationssystem?,CBIS = Computer Based Information System
Was ist ein Rechner gestütztes Informationssystem?,"System, bei dem die Erfassung, Speicherung, Übertragung und/ oder Transformation von Informationen teilweise automatisiert ist"
Was beinhaltet ein Rechner gestütztes Informationssystem?,"Hardware, Software, Datenbanken, Telekommunikation, Menschen und Prozeduren, die konfiguriert werden, um Daten zu sammeln, speichern und zu Informationen verarbeiten"
Nennen Sie Beispiele für Business Information Systems!,Knowledge management and special-purpose business information systems; Management information and decision support systems; Enterprise systems E- and M-commerce
Was wird unter E-Business verstanden?,"Über das E-Commerce hinausgehend; Beinhaltet Informationssysteme und das Internet, um alle geschäftsrelevanten Aufgaben (z.B. Rechnungswesen, Finanzbereich, Marketing, HR) durchzuführen"
Was sind 2 Teilbereiche des E-Business?,E-Commerce und E-Procurement
Was ist unter einem Transaction Processing System (TPS) zu verstehen?,"Organisierte Sammlung von Menschen, Ablaufbeschreibungen, Software, Datenbanken und Geräten, um komplette Geschäftstransaktionen durchzuführen"
Was ist unter einem Management Information System (MIS) zu verstehen?,"Organisierte Sammlung von Menschen, Ablaufbeschreibungen, Software, Datenbanken und Geräten, welche Routineinformationen für Manager und Entscheider bereit stellt"
Was ist unter einem Decision Support System (DIS) zu verstehen?,"Organisierte Sammlung von Menschen, Ablaufbeschreibungen, Software, Datenbanken und Geräten, welche problemspezifische Entscheidungen unterstützt"
Nennen Sie exemplarische Specialized Business Information Systems!,Knowledge Management; Artificial Intelligence; Expert Systems; Virtual Reality
Was sind Technologien im Kontext der Künstlichen Intelligenz?,Robotics; Vision Systems; Natural Language Processing; Learning Systems; Neural Networks; Expert Systems
Was ist die Vorgehensweise bei der Systementwicklung??,Systems Investigation (Understand problem) -> Systems Analysis (Understand solutions) -> Systems Design (Select and plan best solution) -> Systems Implementation (Place solution into effect) -> Systems Maintenance and Review (Evaluate results of solution)
Was sind globale Herausforderungen an Informationssysteme?,Kulturelle; Sprachbarrieren; Zeit und Entfernung; Infratsruktur; Währung; Produkte und Services; Technologietransfer; Gesetze; Handelsvereinbarungen
Wieviele Globalisierungsepochen gibt es und welcher Zeit sind diese Epochen zuzuordnen?,3 Epochen: Globalisierung 1.0 (1400-1800); Globalisierung 2.0 (1800-2000); Globalisierung 3.0 (2000-heute)
Was charakterisiert die Epoche Globalisierung 1.0?,"Länder mit der Macht, die Welt zu entdecken und zu beeinflussen"
Was charakterisiert die Epoche Globalisierung 2.0?,"Multinationale Firmen, die Produktionsstätten, Lager und Büros in der ganzen Welt haben"
Was charakterisiert die Epoche Globalisierung 3.0?,"Persönlichkeiten aus der ganzen Welt, welche durch das Internet gegen ganze Organisationen antreten und bestehen können"
Was ist unter einer Organisation zu verstehen?,"Eine Gruppe von Menschen und anderen Ressourcen, die zusammen eine Reihe von Zielen erreichen wollen; = ein System mit Inputs, Outputs, Ablaufmechanismen und Outputs; = offene Systeme (Beeinflussung des Umfelds vs. Beeinflussung durch das Umfeld)"
Was sind Inputs im Kontext einer Organisation?,Capitel; Equipment; Facilities; Materials; Supplies; Labor; Knowledge
Was ist der Transformation Process im Kontext einer Organisation?,Manufacture; Alteration; Transportation; Storage
Was sind Outputs im Kontext einer Organisation?,Goods; Services; Feedback
Was ist die Umwelt im Kontext einer Organisation?,Customer; Supplier; Technology; Competition; Economy
Beschreiben Sie das Zusammenspiel von Organisationen und Informationssystemen entlang der Wertschöpfungskette!,Raw Materials -> Inbound Logistics (Inbound tracking systems) -> Warehouse and storage (Raw material inventory control systems) -> Production (Process control systems) -> Customer service (Customer service tracking and control systems) -> Marketing and sales (Promotion planning systems) -> Outbound logistics (Distribution planning systems) -> Finished product storage (Automated storage and retrieval systems)
Was ist unter einer Wertschöpfungskette zu verstehen?,Reihe von Aktivitäten zur Leistungserbringung von der Entwicklung über Beschaffung und Produktion über Vertrieb bis zu Inkasso und nachlaufenden Serviceleistungen
Was versteht man unter dem Upstream management?,"Management of raw materials, inbound logistics, and warehouse and storage facilities"
Was versteht man unter dem Downstream management?,"Management of finished product storage, outbound logistics, marketing and sales, and customer service"
Was ist unter einer Organisationsstruktur zu verstehen?,Zusammenspiel unterschiedlicher Bereiche im Unternehmen und wie Unterorganisationen in die gesamte Struktur passen
